identifier,topic,priority,notes,source_path
SEG-212,teaching_innovation,5,2.2 人才培养模式单一，缺乏个性化和创新性,response_1761904336509.json.normalized.txt
SEG-213,teaching_innovation,5,2.3 教育资源分配与教师队伍建设亟需提升,response_1761904336509.json.normalized.txt
SEG-215,teaching_innovation,5,3.1 构建智慧教学新范式，优化教育生态体系,response_1761904336509.json.normalized.txt
SEG-218,teaching_innovation,5,3.3 重构人才培养机制，增强创新驱动能力,response_1761904336509.json.normalized.txt
SEG-225,teaching_innovation,5,4.3 构建跨学科的知识体系,response_1761904336509.json.normalized.txt
SEG-226,teaching_innovation,5,05 总结与展望,response_1761904336509.json.normalized.txt
SEG-238,teaching_innovation,5,02 人工智能带来的教育智能化变革,response_1761904301289.json.normalized.txt
SEG-270,teaching_innovation,5,通过对150篇文献进行广泛综述，它提出了一种治疗干性黄斑变性（dAMD）的实验策略。在综合了400多篇科学论文和临床实验报告后，该系统生成了增强RPE吞噬作用的治疗候选药物的假设。,response_1761904301289.json.normalized.txt
SEG-272,teaching_innovation,5,再次向AI提供实验结果时，AI直接提出了另一种药物Ripasudil，并建议人类专家使用RNA分析其增强吞噬作用的机理,response_1761904301289.json.normalized.txt
SEG-273,teaching_innovation,5,整个研究的知识框架，完全由AI主导，而人类研究员起的作用，仅仅是执行物理实验而已,response_1761904301289.json.normalized.txt
SEG-276,teaching_innovation,5,个性化学习路径定制,response_1761904301289.json.normalized.txt
SEG-280,teaching_innovation,5,自动化教学管理评估,response_1761904301289.json.normalized.txt
SEG-281,teaching_innovation,5,AI自动批改作业、生成详细学情分析报告、智能辅助备课，让教师从重复性工作中解脱，更专注于教学设计与深度互动。,response_1761904301289.json.normalized.txt
SEG-283,teaching_innovation,5,虚拟实验室普及化应用,response_1761904301289.json.normalized.txt
SEG-286,teaching_innovation,5,教师角色转型,response_1761904301289.json.normalized.txt
SEG-287,teaching_innovation,5,虚实结合的未来课堂,response_1761904301289.json.normalized.txt
SEG-290,teaching_innovation,5,建立产学研融合课程体系,response_1761904301289.json.normalized.txt
SEG-305,teaching_innovation,5,部分示范课程,response_1761904301289.json.normalized.txt
SEG-310,teaching_innovation,5,全球关注,response_1761904301289.json.normalized.txt
SEG-312,teaching_innovation,5,- 底层接入多种AI模型 中层构建学科引擎 上层支撑教学应用,response_1761904301289.json.normalized.txt
SEG-314,teaching_innovation,5,创新实践,response_1761904301289.json.normalized.txt
SEG-321,teaching_innovation,5,1.  一位身着白色衬衫、佩戴眼镜的男性正在演讲，他站在讲台后方，面前有麦克风。,response_1761904301289.json.normalized.txt
SEG-325,teaching_innovation,5,第二批 人工智能+高等教育 应用场景典型案例名单,response_1761904301289.json.normalized.txt
SEG-005,impact_evaluation,6,此外，重点解决面向先进人工智能的教学数据改造、教学知识萃取等关键问题。通过建立统一数据标准，实现教学资源的智能化应用，助力高等教育智能化变革，促进AI时代教学质量提升。,response_1761903861983.json.normalized.txt
SEG-016,impact_evaluation,6,该应用基于“天工AI”系列技术成果，依托专业知识库和检索增强生成技术，构建了可实现复杂功能的智能体工具。其核心应用功能包括：,response_1761903861983.json.normalized.txt
SEG-026,impact_evaluation,6,当前界面处于“应用洞察”模块，其核心功能是“AI使用洞察，助力智慧教学”，旨在通过数据分析和可视化图表，为教学决策提供支持。主界面展示了多项教学运行数据，包括“24小时智能学伴”的学习单元数量（156个）、知识掌握率（70%）、学习完成率（,response_1761903861983.json.normalized.txt
SEG-027,impact_evaluation,6,此外，界面还呈现了“知识点完成概况”、“知识点学习方式分布”等详细分析图表，以及“知识点问题观测”列表，这些功能均基于引擎层的“天工AI”系列技术成果，利用检索增强生成、跨语言混合检索和AI智能体等技术，实现了对多模态教学知识的整合与分析，,response_1761903861983.json.normalized.txt
SEG-028,impact_evaluation,6,（三）应用优化,response_1761903861983.json.normalized.txt
SEG-035,impact_evaluation,6,推动环境学科教育创新，借助先进人工智能技术加速环境领域教学的数字化变革。通过环境学科与人工智能技术深度融合，促进环境学科交叉融通，极大提升了大模型在环境学科教学场景的精确性，为高等教育提供了智能化,response_1761903861983.json.normalized.txt
SEG-037,impact_evaluation,6,（一）应用前景或已经取得的应用成果,response_1761903861983.json.normalized.txt
SEG-039,impact_evaluation,6,（三）在高等教育领域的示范引领作用,response_1761903861983.json.normalized.txt
SEG-045,impact_evaluation,6,2.学生反馈,response_1761903861983.json.normalized.txt
SEG-051,impact_evaluation,6,(4)用户培训与人工智能赋能环境学科相关会议,response_1761903897184.json.normalized.txt
SEG-052,impact_evaluation,6,2.2预期成效,response_1761903897184.json.normalized.txt
SEG-053,impact_evaluation,6,本项目将有效促进人工智能技术与环境学科核心科研环节的深度融合，显著提升知识检索、数据处理等关键环节的自动化与高效化水平，预计大幅减少基础性事务性工作时长，切实增强教师与科研团队的创新研究能力，对环境学科智能化发展具有重要推动作用。完善智能体,response_1761903897184.json.normalized.txt
SEG-054,impact_evaluation,6,(2)构建开放共享的智能体工具生态体系,response_1761903897184.json.normalized.txt
SEG-055,impact_evaluation,6,(3)打造环境学科与人工智能交叉融合示范,response_1761903897184.json.normalized.txt
SEG-111,impact_evaluation,6,水质检测分析,response_1761904025700.json.normalized.txt
SEG-117,impact_evaluation,6,水动力模拟,response_1761904025700.json.normalized.txt
SEG-122,impact_evaluation,6,项目财务分析,response_1761904025700.json.normalized.txt
SEG-124,impact_evaluation,6,数据可视化,response_1761904025700.json.normalized.txt
SEG-129,impact_evaluation,6,本科生试用感受,response_1761904025700.json.normalized.txt
SEG-150,impact_evaluation,6,清华大学环境学科知识引擎-学习成效评价,response_1761904025700.json.normalized.txt
SEG-164,impact_evaluation,6,平台以“氨循环”为核心，构建了涵盖医疗垃圾、生活垃圾、污水处理、废气处理等多源污染治理的全链条虚拟场景，各环节数据实时交互，形成“互为支撑、互为应用”的闭环系统。,response_1761904025700.json.normalized.txt
SEG-166,impact_evaluation,6,该环境学科引擎不仅服务于教学，更深度赋能科研工作，实现从数据感知、流程模拟到智能分析的全流程支持，推动环境学科知识的智能化应用与创新。,response_1761904025700.json.normalized.txt
SEG-176,impact_evaluation,6,通过大语言模型与教育场景的深度融合，逐步构建起个性化、多元化、智能化的教育生态系统,response_1761904025700.json.normalized.txt
SEG-185,impact_evaluation,6,tiangong-ai-mcp Public tiangong-ai-langgraph-server Public liangong-ai-langgraph-server tiangong-ai-edge-function T1iang,response_1761904025700.json.normalized.txt
SEG-200,impact_evaluation,6,2.1教学内容与社会发展变革衔接不足,response_1761904025700.json.normalized.txt
SEG-216,impact_evaluation,6,3.2 提升教育质量效能，促进资源均衡发展,response_1761904336509.json.normalized.txt
SEG-217,impact_evaluation,6,源的局限，以Kaiwu工具为例（图1），针对某一问题相较传统依靠关键词检索、逐篇阅读的方式，学生现可通过AI实时定位和获取文献中的有效信息与研究成果，大幅提升知识获取效率。AI技术还可通过智能平台将优质教育资源、知识扩展至偏远地区，优化资源,response_1761904336509.json.normalized.txt
SEG-221,impact_evaluation,6,4.1 明确自身优势，找准定位,response_1761904336509.json.normalized.txt
SEG-242,impact_evaluation,6,问题、生成文本、进行自然语言处理等任务本，这些数据被用来训练模型的语言理解和,response_1761904301289.json.normalized.txt
SEG-255,impact_evaluation,6,训练数据里没有的任务，它完全不会做,response_1761904301289.json.normalized.txt
SEG-262,impact_evaluation,6,- 速度激增：从12个月500T+到2个月500T+，增长速度是常规互联网增长的数十倍,response_1761904301289.json.normalized.txt
SEG-267,impact_evaluation,6,·预设任务：在满足排放标准的前提下最大化燃烧效率,response_1761904301289.json.normalized.txt
SEG-268,impact_evaluation,6,智能推理：结合任务目标判断如何调整风煤比,response_1761904301289.json.normalized.txt
SEG-277,impact_evaluation,6,AI深度分析学情数据，动态生成专属学习地图，精准推荐学习资源与练习题目，实现真正的自适应学习体验。,response_1761904301289.json.normalized.txt
SEG-279,impact_evaluation,6,通过虚拟实验室、历史场景重现、AI智能口语陪练等创新方式，提供情境化、游戏化的实践环境，显著提升学习兴趣与效果。,response_1761904301289.json.normalized.txt
SEG-285,impact_evaluation,6,中西部教师培训提升,response_1761904301289.json.normalized.txt
SEG-298,impact_evaluation,6,当前，国际上各教育机构正将AI提升为推动教育模式深层变革的战略性力量 构建更具个性化、包容性、高效能且关注人的核心价值的未来教育图景。,response_1761904301289.json.normalized.txt
SEG-316,impact_evaluation,6,科学反思,response_1761904301289.json.normalized.txt
SEG-317,impact_evaluation,6,寻找短期提升与长期记忆的平衡,response_1761904301289.json.normalized.txt
SEG-320,impact_evaluation,6,- 图像主体为一位身着浅色衬衫的男性，正手持麦克风，处于演讲或教学状态，背景为深色板面，可能为教室或会议环境。,response_1761904301289.json.normalized.txt
SEG-344,impact_evaluation,6,√ 工程应用,response_1761904301289.json.normalized.txt
SEG-092,sustainability_scaling,7,生态环境可持续领域通用知识库 (700亿Token量级),response_1761904025700.json.normalized.txt
